spec,error,class,className,method
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase2,BrokenCryptoBBCase2,go
CipherSpec,"First parameter (with value 'Blowfish') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase2,BrokenCryptoBBCase2,go
KeyGeneratorSpec,"First parameter (with value 'Blowfish') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase2,BrokenCryptoBBCase2,go
MacSpec,"First parameter (with value 'HmacMD5') should be any of {HmacSHA256, HmacSHA384, HmacSHA512, HmacPBESHA1, PBEWithHmacSHA1, PBEWithHmacSHA224, PBEWithHmacSHA256, PBEWithHmacSHA384, PBEWithHmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.Mac.",org.cryptoapi.bench.brokenmac.BrokenMacBBCase1,BrokenMacBBCase1,main
MacSpec,"First parameter (with value 'HmacSHA1') should be any of {HmacSHA256, HmacSHA384, HmacSHA512, HmacPBESHA1, PBEWithHmacSHA1, PBEWithHmacSHA224, PBEWithHmacSHA256, PBEWithHmacSHA384, PBEWithHmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.Mac.",org.cryptoapi.bench.brokenmac.BrokenMacBBCase2,BrokenMacBBCase2,main
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.ecbcrypto.EcbInSymmCryptoBBCase1,EcbInSymmCryptoBBCase1,go
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.ecbcrypto.EcbInSymmCryptoABICase3,EcbInSymmCryptoABICase3,method1
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.ecbcrypto.EcbInSymmCryptoABICase1,EcbInSymmCryptoABICase1,go
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.ecbcrypto.CryptoECB1,CryptoECB1,method1
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.ecbcrypto.EcbInSymmCryptoABPSCase1,EcbInSymmCryptoABPSCase1,go
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.ecbcrypto.EcbInSymmCryptoABMC1,EcbInSymmCryptoABMC1,go
KeyStoreSpec,"Second parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for java.security.KeyStore.",org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABICase1,PredictableKeyStorePasswordABICase1,go
KeyStoreSpec,"Second parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for java.security.KeyStore.",org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABICase3,PredictableKeyStorePasswordABICase3,method2
KeyStoreSpec,"Second parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for java.security.KeyStore.",org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABICase2,PredictableKeyStorePasswordABICase2,go
KeyStoreSpec,"Second parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for java.security.KeyStore.",org.cryptoapi.bench.predictablekeystorepassword.CryptoPredictableKeyStorePassword1,CryptoPredictableKeyStorePassword1,method1
KeyStoreSpec,"Second parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for java.security.KeyStore.",org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABHCase1,PredictableKeyStorePasswordABHCase1,go
KeyStoreSpec,"Second parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for java.security.KeyStore.",org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABMC1,PredictableKeyStorePasswordABMC1,go
KeyStoreSpec,"Second parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for java.security.KeyStore.",org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordCorrected,PredictableKeyStorePasswordCorrected,go
KeyStoreSpec,"Second parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for java.security.KeyStore.",org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABHCase2,PredictableKeyStorePasswordABHCase2,go
KeyStoreSpec,"Second parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for java.security.KeyStore.",org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordBBCase1,PredictableKeyStorePasswordBBCase1,go
KeyStoreSpec,"Second parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for java.security.KeyStore.",org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABPSCase1,PredictableKeyStorePasswordABPSCase1,go
KeyPairGeneratorSpec,"First parameter (with value 1024) should be any of {4096, 3072, 2048}. ConstraintError violating CrySL rule for java.security.KeyPairGenerator.",org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherBBCase1,InsecureAsymmetricCipherBBCase1,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherBBCase1,InsecureAsymmetricCipherBBCase1,go
KeyPairGeneratorSpec,"First parameter (with value 1024) should be any of {4096, 3072, 2048}. ConstraintError violating CrySL rule for java.security.KeyPairGenerator.",org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase3,InsecureAsymmetricCipherABICase3,method1
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase3,InsecureAsymmetricCipherABICase3,method1
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase1,InsecureAsymmetricCipherABICase1,go
KeyPairGeneratorSpec,"First parameter (with value 1024) should be any of {4096, 3072, 2048}. ConstraintError violating CrySL rule for java.security.KeyPairGenerator.",org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase1,InsecureAsymmetricCipherABICase1,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABPSCase1,InsecureAsymmetricCipherABPSCase1,go
KeyPairGeneratorSpec,"First parameter (with value 1024) should be any of {4096, 3072, 2048}. ConstraintError violating CrySL rule for java.security.KeyPairGenerator.",org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABPSCase1,InsecureAsymmetricCipherABPSCase1,go
KeyPairGeneratorSpec,"First parameter (with value 1024) should be any of {4096, 3072, 2048}. ConstraintError violating CrySL rule for java.security.KeyPairGenerator.",org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase2,InsecureAsymmetricCipherABICase2,main
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase2,InsecureAsymmetricCipherABICase2,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABMC1,InsecureAsymmetricCipherABMC1,go
KeyPairGeneratorSpec,"First parameter (with value 1024) should be any of {4096, 3072, 2048}. ConstraintError violating CrySL rule for java.security.KeyPairGenerator.",org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABMC1,InsecureAsymmetricCipherABMC1,go
CipherSpec,"Operation on object of type javax.crypto.Cipher object not completed. Expected call to init. IncompleteOperationError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.credentialinstring.CredentialInStringABSCase1,CredentialInStringABSCase1,main
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.credentialinstring.CredentialInStringBBCase1,CredentialInStringBBCase1,main
SecretKeySpecSpec,"First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.",org.cryptoapi.bench.credentialinstring.CredentialInStringBBCase1,CredentialInStringBBCase1,main
CipherSpec,"Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD. TypestateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.credentialinstring.CredentialInStringBBCase1,CredentialInStringBBCase1,main
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.credentialinstring.CredentialInStringCorrected,CredentialInStringCorrected,main
CipherSpec,"Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD. TypestateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.credentialinstring.CredentialInStringCorrected,CredentialInStringCorrected,main
SecretKeySpecSpec,"First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.",org.cryptoapi.bench.credentialinstring.CredentialInStringCorrected,CredentialInStringCorrected,main
CipherSpec,"Operation on object of type javax.crypto.Cipher object not completed. Expected call to init. IncompleteOperationError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyABSCase1,PredictableCryptographicKeyABSCase1,main
CipherSpec,"Operation on object of type javax.crypto.Cipher object not completed. Expected call to init. IncompleteOperationError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyABSCase1,PredictableCryptographicKeyABSCase1,main
CipherSpec,"Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD. TypestateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyCorrected,PredictableCryptographicKeyCorrected,main
SecretKeySpecSpec,"First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.",org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyCorrected,PredictableCryptographicKeyCorrected,main
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyCorrected,PredictableCryptographicKeyCorrected,main
PBEParameterSpecSpec,"Second parameter (with value 20)Variable iterationCountmust be  at least 10000. ConstraintError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.pbeiteration.LessThan1000IterationPBEABICase3,LessThan1000IterationPBEABICase3,method1
PBEParameterSpecSpec,"Second parameter (with value 20)Variable iterationCountmust be  at least 10000. ConstraintError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.pbeiteration.CryptoPBEIteration1,CryptoPBEIteration1,method1
PBEParameterSpecSpec,"Second parameter (with value 20)Variable iterationCountmust be  at least 10000. ConstraintError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.pbeiteration.LessThan1000IterationPBEABICase1,LessThan1000IterationPBEABICase1,go
PBEParameterSpecSpec,"Second parameter (with value 20)Variable iterationCountmust be  at least 10000. ConstraintError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.pbeiteration.LessThan1000IterationPBEABMC1,LessThan1000IterationPBEABMC1,go
PBEParameterSpecSpec,"Second parameter (with value 20)Variable iterationCountmust be  at least 10000. ConstraintError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.pbeiteration.LessThan1000IterationPBEBBCase1,LessThan1000IterationPBEBBCase1,key2
PBEParameterSpecSpec,"Second parameter (with value 0)Variable iterationCountmust be  at least 10000. ConstraintError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.pbeiteration.LessThan1000IterationPBEABICase2,LessThan1000IterationPBEABICase2,key2
PBEParameterSpecSpec,"Second parameter (with value 1020)Variable iterationCountmust be  at least 10000. ConstraintError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.pbeiteration.LessThan1000IterationPBECorrected,LessThan1000IterationPBECorrected,key2
PBEParameterSpecSpec,"Second parameter (with value 5)Variable iterationCountmust be  at least 10000. ConstraintError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.pbeiteration.LessThan1000IterationPBEABPSCase1,LessThan1000IterationPBEABPSCase1,main
PBEParameterSpecSpec,"Second parameter (with value 1020)Variable iterationCountmust be  at least 10000. ConstraintError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.staticsalts.StaticSaltsCorrected,StaticSaltsCorrected,key2
PBEParameterSpecSpec,"Second parameter (with value 1020)Variable iterationCountmust be  at least 10000. ConstraintError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.staticsalts.StaticSaltsABPSCase1,StaticSaltsABPSCase1,key2
PBEParameterSpecSpec,"First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.staticsalts.StaticSaltsABMC1,StaticSaltsABMC1,key2
PBEParameterSpecSpec,"Second parameter (with value 1020)Variable iterationCountmust be  at least 10000. ConstraintError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.staticsalts.StaticSaltsABMC1,StaticSaltsABMC1,key2
PBEParameterSpecSpec,"First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.staticsalts.StaticSaltsABHCase1,StaticSaltsABHCase1,key2
PBEParameterSpecSpec,"Second parameter (with value 1020)Variable iterationCountmust be  at least 10000. ConstraintError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.staticsalts.StaticSaltsABHCase1,StaticSaltsABHCase1,key2
PBEParameterSpecSpec,"Second parameter (with value 1020)Variable iterationCountmust be  at least 10000. ConstraintError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.staticsalts.StaticSaltsABICase2,StaticSaltsABICase2,key2
PBEParameterSpecSpec,"First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.staticsalts.StaticSaltsABICase2,StaticSaltsABICase2,key2
PBEParameterSpecSpec,"Second parameter (with value 1020)Variable iterationCountmust be  at least 10000. ConstraintError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.staticsalts.StaticSaltsBBCase1,StaticSaltsBBCase1,key2
PBEParameterSpecSpec,"First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.staticsalts.StaticSaltsBBCase1,StaticSaltsBBCase1,key2
PBEParameterSpecSpec,"Second parameter (with value 1020)Variable iterationCountmust be  at least 10000. ConstraintError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.staticsalts.CryptoStaticSalt1,CryptoStaticSalt1,method1
PBEParameterSpecSpec,"First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.staticsalts.CryptoStaticSalt1,CryptoStaticSalt1,method1
PBEParameterSpecSpec,"Second parameter (with value 1020)Variable iterationCountmust be  at least 10000. ConstraintError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.staticsalts.StaticSaltsABICase3,StaticSaltsABICase3,method2
PBEParameterSpecSpec,"First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.staticsalts.StaticSaltsABICase3,StaticSaltsABICase3,method2
PBEParameterSpecSpec,"Second parameter (with value 1020)Variable iterationCountmust be  at least 10000. ConstraintError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.staticsalts.StaticSaltsABICase1,StaticSaltsABICase1,key2
PBEParameterSpecSpec,"First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.PBEParameterSpec.",org.cryptoapi.bench.staticsalts.StaticSaltsABICase1,StaticSaltsABICase1,key2
MessageDigestSpec,"First parameter (with value 'MD2') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.CryptoHash4,CryptoHash4,encrypt
MessageDigestSpec,"First parameter (with value 'MD5') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashABPSCase3,BrokenHashABPSCase3,main
MessageDigestSpec,"First parameter (with value 'SHA1') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashABPSCase1,BrokenHashABPSCase1,main
MessageDigestSpec,"First parameter (with value 'MD5') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashABICase3,BrokenHashABICase3,go
MessageDigestSpec,"First parameter (with value 'MD5') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashBBCase3,BrokenHashBBCase3,main
MessageDigestSpec,"First parameter (with value 'MD5') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.CryptoHash2,CryptoHash2,encrypt
MessageDigestSpec,"First parameter (with value 'MD5') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashABICase10,BrokenHashABICase10,method1
MessageDigestSpec,"First parameter (with value 'MD2') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashABICase12,BrokenHashABICase12,method1
MessageDigestSpec,"First parameter (with value 'SHA1') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashBBCase1,BrokenHashBBCase1,main
MessageDigestSpec,"First parameter (with value 'SHA1') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashABICase1,BrokenHashABICase1,go
MessageDigestSpec,"First parameter (with value 'MD2') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashBBCase4,BrokenHashBBCase4,main
MessageDigestSpec,"First parameter (with value 'MD2') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashABICase4,BrokenHashABICase4,go
MessageDigestSpec,"First parameter (with value 'MD5') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashABPSCase2,BrokenHashABPSCase2,main
MessageDigestSpec,"First parameter (with value 'SHA1') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.CryptoHash1,CryptoHash1,encrypt
MessageDigestSpec,"First parameter (with value 'MD5') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashABICase11,BrokenHashABICase11,method1
MessageDigestSpec,"First parameter (with value 'MD5') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.CryptoHash3,CryptoHash3,encrypt
MessageDigestSpec,"First parameter (with value 'MD5') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashABICase2,BrokenHashABICase2,go
MessageDigestSpec,"First parameter (with value 'MD5') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashBBCase2,BrokenHashBBCase2,main
MessageDigestSpec,"First parameter (with value 'MD2') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashABPSCase4,BrokenHashABPSCase4,main
MessageDigestSpec,"First parameter (with value 'MD5') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashABMC2,BrokenHashABMC2,go
MessageDigestSpec,"First parameter (with value 'MD2') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashABMC4,BrokenHashABMC4,go
MessageDigestSpec,"First parameter (with value 'MD5') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashABMC3,BrokenHashABMC3,go
MessageDigestSpec,"First parameter (with value 'SHA1') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashABMC1,BrokenHashABMC1,go
MessageDigestSpec,"First parameter (with value 'SHA1') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",org.cryptoapi.bench.brokenhash.BrokenHashABICase9,BrokenHashABICase9,method1
PBEKeySpecSpec,"First parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.cryptoapi.bench.predictablepbepassword.CryptoPredictablePBE,CryptoPredictablePBE,method1
PBEKeySpecSpec,"Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword. IncompleteOperationError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABSCase1,PredictablePBEPasswordABSCase1,main
PBEKeySpecSpec,"First parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABMC1,PredictablePBEPasswordABMC1,key
PBEKeySpecSpec,"Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword. IncompleteOperationError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABMCCase1,PredictablePBEPasswordABMCCase1,main
PBEKeySpecSpec,"First parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABHCase2,PredictablePBEPasswordABHCase2,key
PBEKeySpecSpec,"Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword. IncompleteOperationError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABHCase2,PredictablePBEPasswordABHCase2,main
PBEKeySpecSpec,"First parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABHCase1,PredictablePBEPasswordABHCase1,key
PBEKeySpecSpec,"Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword. IncompleteOperationError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABHCase1,PredictablePBEPasswordABHCase1,main
PBEKeySpecSpec,"First parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABPSCase1,PredictablePBEPasswordABPSCase1,key
PBEKeySpecSpec,"Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword. IncompleteOperationError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABPSCase1,PredictablePBEPasswordABPSCase1,main
PBEKeySpecSpec,"First parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordCorrected,PredictablePBEPasswordCorrected,key
PBEKeySpecSpec,"Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword. IncompleteOperationError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordCorrected,PredictablePBEPasswordCorrected,main
PBEKeySpecSpec,"First parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordBBCase1,PredictablePBEPasswordBBCase1,key
PBEKeySpecSpec,"Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword. IncompleteOperationError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordBBCase1,PredictablePBEPasswordBBCase1,main
PBEKeySpecSpec,"Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword. IncompleteOperationError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABICase2,PredictablePBEPasswordABICase2,main
